transaction_id,date,campaign_id,channel,impressions,clicks,cost
1,2025-01-02,1001,Digital,23024,112,1349.09
2,2025-01-02,1009,TV,43698,158,449.38
3,2025-01-02,1004,TV,38118,204,424.72
4,2025-01-04,1009,Radio,19446,164,3069.55
5,2025-01-01,1003,Digital,32696,137,1606.0
6,2025-01-04,1006,TV,11078,147,754.57
7,2025-01-06,1010,Radio,7847,236,2459.3
8,2025-01-02,1007,TV,41178,125,4198.2
9,2025-01-10,1006,Digital,17601,230,626.91
10,2025-01-04,1005,TV,20256,271,774.71
11,2025-01-05,1008,Digital,28909,91,2039.85
12,2025-01-04,1005,Digital,49796,215,635.59
13,2025-01-03,1009,Digital,21043,91,2472.62
14,2025-01-05,1009,TV,49866,133,4261.4
15,2025-01-01,1004,TV,25673,152,1558.38
16,2025-01-04,1010,Digital,25622,104,3380.56
17,2025-01-07,1008,TV,22359,85,1459.15
18,2025-01-09,1009,Radio,43311,159,4519.77
19,2025-01-07,1006,TV,14065,180,2619.52
20,2025-01-01,1002,TV,46120,90,4022.77
21,2025-01-07,1010,TV,30216,147,3100.68
22,2025-01-08,1009,Radio,41256,270,4729.43
23,2025-01-02,1009,Radio,47006,137,824.3
24,2025-01-07,1003,Radio,5212,294,3693.83
25,2025-01-05,1009,TV,38271,283,800.13
26,2025-01-05,1009,Digital,18035,89,2057.4
27,2025-01-03,1009,Digital,5037,203,1823.53
28,2025-01-01,1002,Radio,25153,111,572.25
29,2025-01-10,1002,TV,36849,258,625.3
30,2025-01-09,1003,TV,48237,171,4750.19
31,2025-01-03,1005,Digital,44753,158,4832.51
32,2025-01-09,1004,Digital,25428,152,4977.2
33,2025-01-06,1008,Digital,34588,80,1465.16
34,2025-01-02,1006,TV,43555,191,1381.54
35,2025-01-04,1001,TV,46359,65,1376.03
36,2025-01-01,1006,TV,38695,110,1608.84
37,2025-01-08,1004,Digital,13671,235,4696.92
38,2025-01-10,1010,Radio,20925,250,2522.97
39,2025-01-07,1004,TV,11352,218,2325.94
40,2025-01-07,1007,Radio,8550,222,3371.24
41,2025-01-02,1001,Radio,27236,254,4349.86
42,2025-01-04,1004,TV,40146,164,958.86
43,2025-01-03,1005,Radio,21371,273,4639.35
44,2025-01-08,1009,TV,8315,216,4996.63
45,2025-01-01,1002,TV,15899,154,2582.51
46,2025-01-04,1007,TV,15789,147,310.13
47,2025-01-07,1005,Radio,23694,158,3573.98
48,2025-01-09,1008,TV,17445,125,1323.19
49,2025-01-01,1010,Digital,40533,65,3815.49
50,2025-01-01,1001,Digital,36246,178,4621.12
